ErrorCode	Description 
E000	Refuse this function
E001	Refuse this function
E002	Clerk not yet login or login error
E003	There are some wrong char in the Data
E004	Clerk No. invalid
E005	Quantity input error
E006	Incoming data has syntax error
E007	Prohibit discount
E008	Prohibit +%
E009	Prohibit -%
E010	Prohibit void 	
E011	Press Price key invalid
E012	Press FC key invalid
E013	Prohibit to press EC key
E014	Prohibit to press cash key
E015	Prohibit to press credit key
E016	Prohibit to press check key
E017	Please clear account
E018	Password error
E019	set time error
E020	Input barcode Error 	
E021	Input date error
E022	Daily memory open error
E023	Packet no. error    	
E024	100 PLU at 1 receipt at most
E025	No hardware reset
E026	Now in user mode
E027	You have already printed today!
E028	ECR can't be setted recovery data when Z count isn't equal 0
E029	Password error
E030	DClear daily report error  	
E031	Tax index error
E032	Input data error
E033	Total amount error
E034	FP checksum error
E035	Invalid weight
E036	ECR is on sale
E037	Cash in drawer overflows
E038	Print event log index error
E039	Cash in drawer is not enough
E040	R/A Amount overflows 	
E041	P/O Amount overflows
E042	PLU is not found
E043	Sale price invalid
E044	Item total error
E045	PLU report overflows
E046	Fiscal code len error
E047	Fiscal code & num error
E048	Fiscal number error
E049	Fiscal code & number have been setted
E050	PIN code & number have been set 	
E051	Tax number error
E052	Now in invoice mode
E053	No Tax
E054	Error Department number
E055	Sale Receipt full
E056	Fiscal code or number error
E057	Fiscalization is Failed, Please Set Date/Time
E058	write fiscal memory error (in Z report)
E059	ECR is not in Fiscal mode
E060	PLU Can not return  	
E061	Error Group ID
E062	Printer No paper
E063	Printer 1 No paper
E064	Printer 2 No paper
E065	Find No relative data
E066	Now in fiscal mode
E067	Pay Credit error
E068	HARDWARE RESET ERROR
E069	RecycleFlag=1 but no match record in recycle table
E070	no set TIN or NIN  	
E071	NTP disconnected over 60 days
E072	Electronic journal exchange
E073	No set fis code & num
E074	ECR can''t download program
E075	Member Card input error
E076	Machine number isn't setted
E077	ECR not in fiscal mode
E078	Head message are not setted ok
E079	No FM or address or data bus short
E080	ECR ram checksum error  	
E081	Separate pay error
E082	SERIAL FLASH ERROR
